"service_id","date","exception_type"
"9E38A4D3","20250604","1"
"9E38A4D3","20250605","1"
"9E38A4D3","20250606","1"
"9E38A4D3","20250609","1"
"9E38A4D3","20250610","1"
"9E38A4D3","20250611","1"
"9E38A4D3","20250612","1"
"9E38A4D3","20250613","1"
"9E38A4D3","20250616","1"
"9E38A4D3","20250617","1"
"9E38A4D3","20250618","1"
"9E38A4D3","20250619","1"
"9E38A4D3","20250620","1"
"9E38A4D3","20250623","1"
"9E38A4D3","20250624","1"
"9E38A4D3","20250625","1"
"9E38A4D3","20250626","1"
"9E38A4D3","20250627","1"
"9E38A4D3","20250630","1"
"9E38A4D3","20250701","1"
"9E38A4D3","20250702","1"
"9E38A4D3","20250703","1"
"9E38A4D3","20250707","1"
"9E38A4D3","20250708","1"
"9E38A4D3","20250709","1"
"9E38A4D3","20250710","1"
"9E38A4D3","20250711","1"
"9E38A4D3","20250714","1"
"9E38A4D3","20250715","1"
"9E38A4D3","20250716","1"
"9E38A4D3","20250717","1"
"9E38A4D3","20250718","1"
"9E38A4D3","20250721","1"
"9E38A4D3","20250722","1"
"9E38A4D3","20250723","1"
"9E38A4D3","20250724","1"
"9E38A4D3","20250725","1"
"9E38A4D3","20250728","1"
"9E38A4D3","20250729","1"
"9E38A4D3","20250730","1"
"9E38A4D3","20250731","1"
"9E38A4D3","20250801","1"
"9E38A4D3","20250804","1"
"9E38A4D3","20250805","1"
"9E38A4D3","20250806","1"
"9E38A4D3","20250807","1"
"9E38A4D3","20250808","1"
"9E38A4D3","20250811","1"
"9E38A4D3","20250812","1"
"9E38A4D3","20250813","1"
"9E38A4D3","20250814","1"
"9E38A4D3","20250815","1"
"9E38A4D3","20250818","1"
"9E38A4D3","20250819","1"
"9E38A4D3","20250820","1"
"9E38A4D3","20250821","1"
"9E38A4D3","20250822","1"
"9E38A4D3","20250825","1"
"9E38A4D3","20250826","1"
"9E38A4D3","20250827","1"
"9E38A4D3","20250828","1"
"9E38A4D3","20250829","1"
"E17E66F5","20250607","1"
"E17E66F5","20250608","1"
"E17E66F5","20250614","1"
"E17E66F5","20250615","1"
"E17E66F5","20250621","1"
"E17E66F5","20250622","1"
"E17E66F5","20250628","1"
"E17E66F5","20250629","1"
"E17E66F5","20250704","1"
"E17E66F5","20250705","1"
"E17E66F5","20250706","1"
"E17E66F5","20250712","1"
"E17E66F5","20250713","1"
"E17E66F5","20250719","1"
"E17E66F5","20250720","1"
"E17E66F5","20250726","1"
"E17E66F5","20250727","1"
"E17E66F5","20250802","1"
"E17E66F5","20250803","1"
"E17E66F5","20250809","1"
"E17E66F5","20250810","1"
"E17E66F5","20250816","1"
"E17E66F5","20250817","1"
